expt_name,subjectID,order,age,iswomen,sessionNumber,game,gameLength,uc,m1,m2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
dlpfc,10,1,25,0,1,31,5,3,36,40,44,30,27,49,46,,,,,,2,1,2,2,2,,,,,,,,,,0.4631212,,,,,
dlpfc,10,1,25,0,1,32,5,2,52,60,54,54,68,67,61,,,,,,1,2,2,1,2,,,,,,,,,,0.4179217,,,,,
dlpfc,10,1,25,0,1,33,10,2,40,52,48,24,41,47,55,61,45,56,57,58,2,1,1,2,2,2,1,2,2,2,,,,,0.2868956,0.1124048,0.1967681,0.0816217,0.4135473,0.4135473
dlpfc,10,1,25,0,1,34,10,1,48,60,43,45,35,67,64,51,55,51,60,48,1,1,1,2,2,1,2,1,2,2,,,,,0.238562,0.20908,0.2092669,0.188683,0.1598728,0.1598728
dlpfc,10,1,25,0,1,35,10,3,36,40,40,37,39,55,33,33,40,40,25,48,1,2,2,2,1,1,2,2,2,2,,,,,0.1950331,0.1886838,0.0964153,0.305841141,0.495928571,0.406507693
dlpfc,10,1,25,0,1,36,5,3,52,60,56,52,75,62,69,,,,,,2,1,2,2,2,,,,,,,,,,0.6450398,,,,,
dlpfc,10,1,25,0,1,37,10,2,32,40,37,38,50,33,40,33,30,39,41,43,2,2,1,1,2,1,1,2,2,2,,,,,0.5150746,0.4074978,0.3068431,0.485845526,0.494882692,0.483129519
dlpfc,10,1,25,0,1,38,5,3,60,56,71,52,40,53,81,,,,,,1,2,2,2,1,,,,,,,,,,1.3125542,,,,,
dlpfc,10,1,25,0,1,39,5,2,32,40,28,21,36,46,40,,,,,,1,1,2,2,2,,,,,,,,,,1.2809913,,,,,
dlpfc,10,1,25,0,1,40,5,2,60,40,64,35,76,36,54,,,,,,1,2,1,2,1,,,,,,,,,,0.8482409,,,,,
dlpfc,10,1,25,0,1,41,10,3,40,60,63,46,49,63,68,71,50,65,65,60,2,2,1,2,2,2,1,2,2,2,,,,,0.2486698,0.0588928,0.433035719,0.0607662,0.470949155,0.334753544
dlpfc,10,1,25,0,1,42,10,1,60,64,51,66,47,80,72,69,68,83,63,53,1,1,1,2,2,1,2,2,1,2,,,,,0.3339084,0.1753035,0.304025558,0.452288603,0.1036794,0.1036794
dlpfc,10,1,25,0,1,43,5,2,56,60,54,44,51,55,59,,,,,,2,1,2,1,2,,,,,,,,,,0.4509856,,,,,
dlpfc,10,1,25,0,1,44,5,2,60,56,72,60,53,66,46,,,,,,1,2,1,2,2,,,,,,,,,,1.28611,,,,,
dlpfc,10,1,25,0,1,45,5,3,60,64,55,76,61,74,59,,,,,,2,2,2,1,2,,,,,,,,,,1.3383321,,,,,
dlpfc,10,1,25,0,1,46,5,1,32,40,24,42,29,33,34,,,,,,1,1,1,2,1,,,,,,,,,,1.5782527,,,,,
dlpfc,10,1,25,0,1,47,10,2,60,80,51,66,76,77,83,80,77,72,73,72,1,1,2,2,2,2,2,2,2,2,,,,,0.5236544,0.4085242,0.371872,0.411763,1.0337723,1.0337723
dlpfc,10,1,25,0,1,48,10,2,48,40,62,25,44,51,50,48,45,57,55,47,1,2,1,2,1,2,2,1,2,2,,,,,0.3618438,0.2720915,0.2749688,0.2870531,0.780553,0.780553
dlpfc,10,1,25,0,1,49,10,2,40,20,33,20,8,50,40,54,39,46,25,49,1,2,2,1,1,1,1,1,2,1,,,,,0.2858791,0.2356707,0.3009467,0.2369444,0.2822633,0.2822633
dlpfc,10,1,25,0,1,50,10,1,36,40,43,31,30,27,41,34,36,34,27,34,1,1,2,1,1,2,2,1,1,1,,,,,0.3395136,0.2678534,0.1933603,0.206352,0.3557663,0.3557663
dlpfc,10,1,25,0,1,51,5,2,40,60,79,68,36,30,50,,,,,,2,2,1,1,2,,,,,,,,,,0.2228396,,,,,
dlpfc,10,1,25,0,1,52,10,2,60,48,30,55,70,60,57,71,43,55,58,60,1,2,1,2,1,1,2,1,2,1,,,,,0.2402041,0.1872775,0.3050037,0.2570271,0.2536638,0.2536638
dlpfc,10,1,25,0,1,53,5,3,60,40,70,36,41,34,77,,,,,,1,2,2,2,1,,,,,,,,,,0.3255353,,,,,
dlpfc,10,1,25,0,1,54,10,1,60,52,62,57,53,54,56,46,82,50,55,63,1,2,1,1,1,2,1,2,1,1,,,,,0.3494268,0.2817749,0.2211382,0.3091717,0.2806313,0.2806313
dlpfc,10,1,25,0,1,55,10,2,52,40,54,43,40,48,50,48,41,50,56,65,1,2,1,2,2,1,1,2,1,1,,,,,0.2777031,0.2640766,0.2821574,0.319871,0.2843048,0.2843048
dlpfc,10,1,25,0,1,56,5,2,64,60,83,71,60,61,53,,,,,,1,2,2,1,1,,,,,,,,,,0.2777535,,,,,
dlpfc,10,1,25,0,1,57,10,2,60,72,65,49,58,70,79,58,79,77,72,73,2,1,1,2,2,1,2,2,2,2,,,,,0.2985839,0.2698416,0.3800891,0.2305531,0.2521154,0.2521154
dlpfc,10,1,25,0,1,58,5,2,72,60,53,60,49,66,75,,,,,,2,1,2,1,1,,,,,,,,,,0.2618771,,,,,
dlpfc,10,1,25,0,1,59,5,3,48,40,39,49,46,42,37,,,,,,2,1,2,2,2,,,,,,,,,,0.5611636,,,,,
dlpfc,10,1,25,0,1,60,10,1,32,40,24,33,34,45,36,55,21,49,31,50,1,2,1,1,1,2,1,2,2,2,,,,,0.2769599,0.2914473,0.2783299,0.3093972,0.305961,0.305961
dlpfc,10,1,25,0,1,61,10,1,52,40,39,77,55,41,52,42,35,27,56,52,1,1,1,2,1,2,1,2,1,1,,,,,0.5106497,0.2902566,0.2880498,0.2260746,0.2232567,0.2232567
dlpfc,10,1,25,0,1,62,5,1,60,40,65,35,59,51,59,,,,,,1,2,1,1,1,,,,,,,,,,0.3079535,,,,,
dlpfc,10,1,25,0,1,63,10,2,72,60,62,59,61,74,67,78,49,61,73,81,2,2,1,1,2,1,2,1,1,1,,,,,0.2804433,0.6360953,0.2746588,0.1571728,0.0608424,0.0608424
dlpfc,10,1,25,0,1,64,5,2,40,60,39,66,35,68,57,,,,,,1,2,1,2,2,,,,,,,,,,0.2629012,,,,,
dlpfc,10,1,25,0,1,65,10,2,60,64,70,61,57,61,71,63,64,63,56,50,1,2,1,2,2,1,2,2,1,2,,,,,0.2664714,0.2591318,0.2725138,0.2242002,0.2551219,0.2551219
dlpfc,10,1,25,0,1,66,10,2,36,40,30,39,41,25,15,34,28,35,55,46,2,1,2,1,1,2,2,2,1,2,,,,,0.2423246,0.2035816,0.2243771,0.1247825,0.1304952,0.1304952
dlpfc,10,1,25,0,1,67,5,1,48,40,33,51,44,59,48,,,,,,1,1,2,1,1,,,,,,,,,,0.400886,,,,,
dlpfc,10,1,25,0,1,68,5,2,60,68,73,40,61,63,77,,,,,,2,1,1,2,2,,,,,,,,,,0.4945311,,,,,
dlpfc,10,1,25,0,1,69,10,2,40,20,31,37,40,43,52,18,27,19,55,38,2,2,1,1,1,2,1,2,1,1,,,,,0.306276,0.3101853,0.2761846,0.2186845,0.1498391,0.1498391
dlpfc,10,1,25,0,1,70,5,2,32,40,25,34,36,49,46,,,,,,2,1,1,2,2,,,,,,,,,,0.8495998,,,,,
dlpfc,10,1,25,0,1,71,5,2,40,48,44,34,40,48,49,,,,,,2,2,1,1,1,,,,,,,,,,0.1896482,,,,,
dlpfc,10,1,25,0,1,72,10,2,44,40,46,43,42,33,37,52,27,44,50,24,2,1,2,1,1,2,2,2,1,2,,,,,0.2555467,0.2578849,0.2562482,0.1497345,0.4277171,0.4277171
dlpfc,10,1,25,0,1,73,5,1,28,40,11,19,39,38,34,,,,,,1,1,1,2,2,,,,,,,,,,1.5808148,,,,,
dlpfc,10,1,25,0,1,74,5,2,60,52,69,53,55,61,43,,,,,,2,1,2,1,2,,,,,,,,,,2.102607,,,,,
dlpfc,10,1,25,0,1,75,10,2,40,32,21,40,28,33,19,26,37,33,26,43,2,1,2,1,2,1,1,2,1,1,,,,,0.2930651,0.3221972,0.3585381,0.2180603,1.3886547,1.3886547
dlpfc,10,1,25,0,1,76,5,2,60,56,53,63,54,59,67,,,,,,2,2,1,1,1,,,,,,,,,,1.0029272,,,,,
dlpfc,10,1,25,0,1,77,5,3,68,60,58,61,57,59,72,,,,,,2,1,2,2,1,,,,,,,,,,0.5164062,,,,,
dlpfc,10,1,25,0,1,78,5,2,48,60,49,38,50,49,70,,,,,,2,1,1,2,1,,,,,,,,,,0.6006367,,,,,
dlpfc,10,1,25,0,1,79,5,2,60,72,65,66,71,52,73,,,,,,2,1,2,1,2,,,,,,,,,,0.2571504,,,,,
dlpfc,10,1,25,0,1,80,10,2,28,40,45,54,23,22,28,45,36,44,30,35,2,2,1,1,2,2,1,2,1,2,,,,,0.2128076,0.1456643,0.2699088,0.8289082,0.3281007,0.3281007
dlpfc,10,1,25,0,1,81,5,3,60,80,52,91,83,65,83,,,,,,1,2,2,2,2,,,,,,,,,,0.3233329,,,,,
dlpfc,10,1,25,0,1,82,5,2,60,48,66,41,59,36,70,,,,,,1,2,1,2,1,,,,,,,,,,0.5065903,,,,,
dlpfc,10,1,25,0,1,83,10,3,40,20,21,14,38,33,12,41,37,50,10,39,2,2,1,2,2,1,1,1,2,1,,,,,0.1887987,0.2061596,0.0731842,0.1364077,0.491476455,0.260868527
dlpfc,10,1,25,0,1,84,10,2,40,52,47,50,50,35,34,55,42,36,40,52,1,2,2,1,2,1,2,1,1,2,,,,,0.2923718,0.3038343,0.3255965,0.2984838,0.530184,0.530184
dlpfc,10,1,25,0,1,85,10,3,28,40,19,35,32,50,30,33,33,42,18,33,1,2,2,2,1,1,2,2,1,2,,,,,0.4730335,0.4046535,0.3579239,0.3259023,0.4245325,0.4245325
dlpfc,10,1,25,0,1,86,5,2,68,60,53,75,58,58,69,,,,,,1,1,2,2,1,,,,,,,,,,0.5193785,,,,,
dlpfc,10,1,25,0,1,87,5,2,52,60,50,61,73,64,58,,,,,,1,1,2,2,1,,,,,,,,,,0.8875063,,,,,
dlpfc,10,1,25,0,1,88,10,2,48,40,27,54,67,43,59,41,45,42,41,56,2,1,1,2,1,2,1,2,1,1,,,,,0.5806371,0.3965271,0.3691999,0.1516099,0.3961739,0.3961739
dlpfc,10,1,25,0,1,89,5,3,48,40,37,43,66,47,48,,,,,,2,2,1,2,1,,,,,,,,,,0.3668628,,,,,
dlpfc,10,1,25,0,1,90,10,1,60,56,67,52,54,65,48,54,70,50,66,72,1,1,1,2,1,2,2,2,1,2,,,,,0.2730265,0.2355874,0.3131167,0.2472817,0.2599653,0.2599653
dlpfc,10,1,25,0,1,91,10,1,52,40,57,55,48,52,57,36,59,50,36,54,1,1,2,1,1,2,1,1,1,1,,,,,0.2386464,0.2006184,0.0857023,0.0500629,0.453844939,0.479408239
dlpfc,10,1,25,0,1,92,5,3,52,40,34,50,45,27,34,,,,,,1,2,2,2,2,,,,,,,,,,0.1679649,,,,,
dlpfc,10,1,25,0,1,93,5,2,48,60,45,62,41,51,45,,,,,,1,2,1,2,1,,,,,,,,,,0.8624428,,,,,
dlpfc,10,1,25,0,1,94,10,1,32,40,23,42,31,33,33,42,45,53,19,47,1,2,1,1,1,2,2,2,1,2,,,,,0.2679393,0.2453732,0.2561428,0.2019336,0.1275567,0.1275567
dlpfc,10,1,25,0,1,95,5,2,44,40,36,40,46,49,39,,,,,,2,1,1,2,1,,,,,,,,,,0.5413886,,,,,
dlpfc,10,1,25,0,1,96,10,2,60,72,65,63,58,79,72,68,70,58,82,80,2,1,1,2,2,2,2,1,2,2,,,,,0.2814105,0.2189035,0.2326074,0.2079326,0.1445636,0.1445636
dlpfc,10,1,25,0,1,97,10,2,60,40,50,63,32,42,60,77,58,55,40,46,1,1,2,2,1,1,1,1,2,1,,,,,0.259976,0.2299741,0.2327821,0.1573301,0.1259893,0.1259893
dlpfc,10,1,25,0,1,98,5,3,48,60,61,70,53,52,56,,,,,,2,2,2,1,2,,,,,,,,,,0.4069768,,,,,
dlpfc,10,1,25,0,1,99,5,2,60,72,39,62,75,66,71,,,,,,1,2,1,2,1,,,,,,,,,,0.2269649,,,,,
dlpfc,10,1,25,0,1,100,10,1,72,60,73,61,71,53,66,78,55,76,73,81,1,1,1,2,1,1,2,1,1,1,,,,,0.2858514,0.3866825,0.2273539,0.169855,0.0626049,0.0626049
dlpfc,10,1,25,0,1,101,10,1,44,40,41,39,57,42,42,49,30,39,37,50,1,1,2,1,2,1,2,1,1,1,,,,,0.0878473,0.2290069,0.370242,0.1204306,0.0542997,0.0542997
dlpfc,10,1,25,0,1,102,10,3,40,60,41,63,30,47,53,42,26,61,54,69,1,2,2,2,2,1,1,2,2,2,,,,,0.2703834,0.2354029,0.2412642,0.1938155,0.1653972,0.1653972
dlpfc,10,1,25,0,1,103,10,1,64,60,61,59,61,64,60,62,71,54,48,67,1,1,2,1,2,1,1,2,1,1,,,,,0.2535165,0.287952,0.2683207,0.2295034,0.2178427,0.2178427
dlpfc,10,1,25,0,1,104,10,1,60,52,44,63,56,54,77,52,60,66,61,57,2,1,1,1,1,2,1,2,1,1,,,,,0.217441,0.1476704,0.1869587,0.1251607,0.079097,0.079097
dlpfc,10,1,25,0,1,105,5,1,40,48,44,41,57,26,51,,,,,,1,1,2,1,2,,,,,,,,,,1.2126971,,,,,
dlpfc,10,1,25,0,1,106,5,2,60,68,62,70,70,67,65,,,,,,1,2,2,1,2,,,,,,,,,,0.2040726,,,,,
dlpfc,10,1,25,0,1,107,5,1,40,28,44,38,24,28,51,,,,,,1,1,2,1,1,,,,,,,,,,0.3422062,,,,,
dlpfc,10,1,25,0,1,108,10,1,60,40,73,52,54,30,54,61,25,61,74,48,1,1,1,2,1,1,2,1,1,1,,,,,0.3439303,0.2970579,0.2479644,0.229553428,0.340823946,0.201339266
dlpfc,10,1,25,0,1,109,10,1,60,40,62,28,49,58,59,36,70,63,46,76,1,2,1,1,1,2,1,1,1,1,,,,,0.27854,0.2826261,0.1976346,0.2013463,0.0907817,0.0907817
dlpfc,10,1,25,0,1,110,10,2,20,40,67,2,5,39,26,55,31,30,55,45,2,1,1,2,2,2,2,1,2,2,,,,,0.1255432,0.1084826,0.33012428,0.38548096,0.1011273,0.1011273
